article_id,title,newspaper_id,newspaper_title,page,date,category,words,illustrated,corrections,url,page_url
100049537,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1944-10-13,Family Notices,935,N,0,https://nla.gov.au/nla.news-article100049537,http://trove.nla.gov.au/newspaper/page/10625339
100050012,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1944-09-12,Family Notices,464,N,0,https://nla.gov.au/nla.news-article100050012,http://trove.nla.gov.au/newspaper/page/10625283
100050635,SUNDAY SCHOOL ANNIVERSARY.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1944-11-17,Article,275,N,0,https://nla.gov.au/nla.news-article100050635,http://trove.nla.gov.au/newspaper/page/10625398
100050718,GRAND CHILDREN'S FROLIC,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),4,1943-03-16,Article,238,N,0,https://nla.gov.au/nla.news-article100050718,http://trove.nla.gov.au/newspaper/page/10624503
100050762,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1944-11-21,Family Notices,535,N,0,https://nla.gov.au/nla.news-article100050762,http://trove.nla.gov.au/newspaper/page/10625407
100050854,KIDDIES' FROLIC,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-11-26,Article,189,N,0,https://nla.gov.au/nla.news-article100050854,http://trove.nla.gov.au/newspaper/page/10624868
100050934,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1944-08-22,Advertising,2663,N,0,https://nla.gov.au/nla.news-article100050934,http://trove.nla.gov.au/newspaper/page/10625253
100050961,WEST CESSNOCK PUBLIC SCHOOL SPRING FROLIC.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1944-08-22,Article,207,N,0,https://nla.gov.au/nla.news-article100050961,http://trove.nla.gov.au/newspaper/page/10625254
100051173,CESSNOCK RED CROSS.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),5,1943-10-01,Article,300,N,0,https://nla.gov.au/nla.news-article100051173,http://trove.nla.gov.au/newspaper/page/10624790
100051487,Play Centre's Grand Find ENTHUSIASTIC SPORTS MEETING.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-01-29,Article,505,N,0,https://nla.gov.au/nla.news-article100051487,http://trove.nla.gov.au/newspaper/page/10624436
100051506,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1943-01-29,Advertising,228,N,0,https://nla.gov.au/nla.news-article100051506,http://trove.nla.gov.au/newspaper/page/10624439
100051857,CESSNOCK RED CROSS AUXILIARY.,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),3,1943-10-05,Article,303,N,0,https://nla.gov.au/nla.news-article100051857,http://trove.nla.gov.au/newspaper/page/10624794
100052544,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1944-08-18,Advertising,321,N,0,https://nla.gov.au/nla.news-article100052544,http://trove.nla.gov.au/newspaper/page/10625251
100052670,Family Notices,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),2,1943-12-21,Family Notices,978,N,1,https://nla.gov.au/nla.news-article100052670,http://trove.nla.gov.au/newspaper/page/10624903
100053221,Hospital Patients,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),1,1943-02-09,Article,485,N,1,https://nla.gov.au/nla.news-article100053221,http://trove.nla.gov.au/newspaper/page/10624450
100053856,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1943-02-19,Advertising,365,N,0,https://nla.gov.au/nla.news-article100053856,http://trove.nla.gov.au/newspaper/page/10624469
100053977,MEMORIES OF PAST EVENTS,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),5,1943-02-26,Article,430,N,0,https://nla.gov.au/nla.news-article100053977,http://trove.nla.gov.au/newspaper/page/10624478
100053998,Advertising,429,The Cessnock Eagle and South Maitland Recorder (NSW : 1913 - 1954),6,1943-02-26,Advertising,263,N,0,https://nla.gov.au/nla.news-article100053998,http://trove.nla.gov.au/newspaper/page/10624479
